rep,t,pop1,pop2,k1,k2
1,1,989,0,0.13,-1.00
1,2,1013,0,0.26,-1.00
1,3,1032,0,0.39,-1.00
1,4,936,0,0.51,-1.00
1,5,934,0,0.60,-1.00
1,6,935,0,0.72,-1.00
1,7,874,0,0.80,-1.00
1,8,877,0,0.92,-1.00
1,9,856,0,1.02,-1.00
1,10,848,0,1.09,-1.00
1,11,825,0,1.13,-1.00
1,12,775,0,1.23,-1.00
1,13,760,0,1.29,-1.00
1,14,830,0,1.35,-1.00
1,15,853,0,1.48,-1.00
1,16,796,0,1.55,-1.00
1,17,801,0,1.69,-1.00
1,18,805,0,1.80,-1.00
1,19,842,0,1.87,-1.00
1,20,783,0,1.99,-1.00
1,21,813,0,2.04,-1.00
1,22,822,0,2.22,-1.00
1,23,742,0,2.26,-1.00
1,24,763,0,2.30,-1.00
1,25,795,0,2.41,-1.00
1,26,756,0,2.48,-1.00
1,27,762,0,2.51,-1.00
1,28,779,0,2.55,-1.00
1,29,791,0,2.60,-1.00
1,30,748,0,2.64,-1.00
1,31,741,0,2.77,-1.00
1,32,727,0,2.75,-1.00
1,33,758,0,2.68,-1.00
1,34,720,0,2.76,-1.00
1,35,743,0,2.76,-1.00
1,36,718,0,2.81,-1.00
1,37,692,0,2.94,-1.00
1,38,700,0,2.89,-1.00
1,39,710,0,3.04,-1.00
1,40,708,0,3.01,-1.00
1,41,727,0,3.01,-1.00
1,42,667,0,3.13,-1.00
1,43,640,0,3.16,-1.00
1,44,650,0,3.18,-1.00
1,45,682,0,3.14,-1.00
1,46,714,0,3.14,-1.00
1,47,727,0,3.11,-1.00
1,48,704,0,3.10,-1.00
1,49,657,0,3.10,-1.00
1,50,672,0,2.98,-1.00
1,51,737,0,3.05,-1.00
1,52,753,0,3.08,-1.00
1,53,699,0,3.01,-1.00
1,54,744,0,3.01,-1.00
1,55,725,0,2.94,-1.00
1,56,690,0,2.91,-1.00
1,57,667,0,2.87,-1.00
1,58,674,0,2.99,-1.00
1,59,655,0,2.91,-1.00
1,60,678,0,3.08,-1.00
1,61,679,0,3.11,-1.00
1,62,657,0,3.08,-1.00
1,63,686,0,2.99,-1.00
1,64,642,0,3.09,-1.00
1,65,693,0,3.07,-1.00
1,66,689,0,3.06,-1.00
1,67,708,0,3.21,-1.00
1,68,698,0,3.20,-1.00
1,69,674,0,3.32,-1.00
1,70,631,0,3.47,-1.00
1,71,702,0,3.51,-1.00
1,72,679,0,3.55,-1.00
1,73,616,0,3.75,-1.00
1,74,598,0,3.82,-1.00
1,75,616,0,3.85,-1.00
1,76,603,0,3.80,-1.00
1,77,640,0,3.83,-1.00
1,78,647,0,3.89,-1.00
1,79,708,0,3.86,-1.00
1,80,708,0,3.74,-1.00
1,81,663,0,3.62,-1.00
1,82,662,0,3.54,-1.00
1,83,638,0,3.53,-1.00
1,84,672,0,3.50,-1.00
1,85,724,0,3.43,-1.00
1,86,694,0,3.31,-1.00
1,87,631,0,3.20,-1.00
1,88,647,0,3.24,-1.00
1,89,672,0,3.10,-1.00
1,90,673,0,2.96,-1.00
1,91,679,0,2.85,-1.00
1,92,687,0,2.93,-1.00
1,93,730,0,2.92,-1.00
1,94,750,0,3.03,-1.00
1,95,769,0,3.11,-1.00
1,96,765,0,3.14,-1.00
1,97,706,0,3.13,-1.00
1,98,702,0,3.03,-1.00
1,99,721,0,2.94,-1.00
1,100,743,0,2.89,-1.00
